Fc_real,Fc_pre
0.4475,0.39249999999999996
0.46499999999999997,0.4175
0.47750000000000004,0.4425
0.48750000000000004,0.4675
0.495,0.47
0.55,0.5525
0.575,0.5800000000000001
0.6025,0.595
0.64,0.6325000000000001
0.6325000000000001,0.6325000000000001
0.645,0.61
0.6125,0.5775
0.615,0.615
0.645,0.645
0.71,0.79
0.7575000000000001,0.8200000000000001
0.7875,0.86
0.79,0.86
0.8075,0.875
0.8125,0.8875
0.8049999999999999,0.8725
0.8525,0.94
0.8674999999999999,0.9299999999999999
0.875,0.945
0.8625,0.9275
0.88,0.9575
0.8875,0.955
0.9125,0.96
0.9225,0.975
0.9225,0.97
0.9475,0.9875
0.955,0.99
0.96,0.99
0.975,0.995
0.9675,0.995
0.965,0.995
0.9675,0.9925
0.9825,0.995
0.99,0.995
0.99,0.995
0.9925,0.995
0.9925,0.995
0.995,0.995
0.995,0.995
0.9925,0.995
0.995,0.995
0.99,0.995
0.99,0.995
0.9925,0.995
0.99,0.995
0.9925,0.995
0.9925,0.995
0.9925,0.995
0.995,0.995
0.99,0.995
0.99,0.995
0.9925,0.995
0.995,0.995
0.99,0.995
0.9925,0.995
0.9925,0.995
0.995,0.995
0.9975,0.995
0.9975,0.995
0.9975,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
1.0,0.995
