Fc_real,Fc_pre
0.4675,0.525
0.375,0.345
0.3375,0.2825
0.35750000000000004,0.3075
0.40249999999999997,0.4175
0.42000000000000004,0.4475
0.41500000000000004,0.43500000000000005
0.42000000000000004,0.45999999999999996
0.4,0.44499999999999995
0.42500000000000004,0.48
0.4425,0.49750000000000005
0.495,0.5325
0.55,0.5549999999999999
0.515,0.5449999999999999
0.56,0.585
0.575,0.605
0.5875,0.6575
0.6275,0.7075
0.6475,0.7324999999999999
0.655,0.7275
0.675,0.755
0.655,0.7424999999999999
0.6699999999999999,0.765
0.6699999999999999,0.755
0.7150000000000001,0.8275
0.7324999999999999,0.8575
0.7525,0.8975
0.765,0.915
0.75,0.8725
0.7625,0.8925
0.7825,0.9299999999999999
0.79,0.9075
0.8049999999999999,0.925
0.815,0.9325
0.83,0.945
0.875,0.975
0.9,0.9775
0.8975,0.9775
0.9025,0.9775
0.9025,0.9725
0.8775,0.965
0.905,0.975
0.9125,0.9775
0.9125,0.975
0.9275,0.9775
0.9275,0.975
0.9175,0.975
0.9125,0.975
0.9025,0.9775
0.9075,0.975
0.91,0.9775
0.94,0.985
0.9325,0.98
0.9425,0.98
0.95,0.9825
0.955,0.9825
0.9425,0.9825
0.91,0.9725
0.915,0.975
0.895,0.97
0.9175,0.9775
0.94,0.9825
0.9475,0.9875
0.955,0.98
0.9575,0.9825
0.9425,0.98
0.9425,0.9825
0.96,0.985
0.9575,0.9825
0.9625,0.985
0.975,0.9875
0.98,0.9875
0.9825,0.9875
0.9825,0.985
0.98,0.9875
0.9925,0.99
0.9925,0.99
0.9925,0.99
0.995,0.99
0.9975,0.99
0.9975,0.99
0.9975,0.99
0.995,0.99
0.9975,0.99
0.9975,0.99
0.9975,0.99
0.9975,0.99
0.995,0.99
0.995,0.9875
0.9975,0.9875
0.9975,0.9875
0.9975,0.9875
0.9975,0.9875
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
1.0,0.99
