Fc_real,Fc_pre
0.1,0.035
0.5575,0.5175
0.69,0.6175
0.7275,0.765
0.645,0.65
0.71,0.6625
0.7175,0.745
0.665,0.6225
0.6875,0.67
0.745,0.715
0.7025,0.7275
0.685,0.6275
0.72,0.7375
0.705,0.69
0.695,0.67
0.7275,0.7125
0.695,0.645
0.7075,0.7225
0.7475,0.745
0.74,0.75
0.7025,0.72
0.675,0.615
0.71,0.725
0.6675,0.6925
0.7125,0.67
0.7075,0.67
0.7375,0.7375
0.7225,0.7425
0.6875,0.635
0.72,0.755
0.665,0.625
0.735,0.735
0.7225,0.7
0.68,0.6775
0.735,0.7825
0.6775,0.665
0.7075,0.705
0.6825,0.6675
0.7075,0.7125
0.7025,0.7125
0.69,0.705
0.6975,0.675
0.7,0.725
0.7075,0.7325
0.6775,0.675
0.6625,0.655
0.695,0.685
0.68,0.7075
0.6475,0.5525
0.7125,0.7425
0.7,0.63
0.7475,0.7925
0.7075,0.69
0.715,0.6625
0.77,0.7925
0.6875,0.6175
0.7275,0.7325
0.7175,0.695
0.755,0.755
0.7075,0.665
0.6975,0.74
0.69,0.665
0.68,0.63
0.7125,0.715
0.715,0.76
0.675,0.6375
0.6975,0.685
0.67,0.68
0.6925,0.665
0.7,0.6925
0.7175,0.7175
0.655,0.6275
0.6925,0.6575
0.7,0.675
0.7125,0.7625
0.6575,0.615
0.7,0.6975
0.705,0.705
0.6925,0.7125
0.645,0.605
0.665,0.5875
0.7025,0.7825
0.71,0.69
0.7175,0.725
0.685,0.66
0.6375,0.67
0.705,0.6675
0.72,0.7125
0.7375,0.775
0.66,0.6225
0.655,0.605
0.7475,0.77
0.735,0.6975
0.7,0.71
0.7275,0.6825
0.6775,0.6525
0.7025,0.7275
0.7325,0.7575
0.7,0.67
