Fc_real,Fc_pre
0.1,0.41
0.3775,0.2175
0.6325,0.5875
0.665,0.6025
0.7175,0.695
0.7025,0.68
0.675,0.5875
0.6725,0.6425
0.67,0.665
0.705,0.7075
0.6925,0.6675
0.7075,0.6625
0.725,0.71
0.7475,0.7775
0.6825,0.615
0.7225,0.7125
0.71,0.695
0.7125,0.72
0.68,0.5825
0.68,0.7275
0.6475,0.5025
0.725,0.7225
0.7225,0.6575
0.6875,0.655
0.7025,0.7125
0.72,0.715
0.6975,0.705
0.6875,0.6625
0.735,0.765
0.6925,0.7
0.6725,0.5975
0.69,0.6975
0.7,0.66
0.69,0.68
0.6775,0.615
0.74,0.74
0.6725,0.6275
0.7,0.68
0.66,0.6075
0.6975,0.6825
0.69,0.68
0.645,0.5925
0.685,0.6925
0.705,0.705
0.71,0.7025
0.7025,0.625
0.745,0.7425
0.72,0.7275
0.7025,0.6675
0.7125,0.6825
0.735,0.735
0.6525,0.635
0.6875,0.6425
0.6825,0.6825
0.7175,0.74
0.715,0.6975
0.75,0.765
0.685,0.6375
0.7075,0.7225
0.7125,0.675
0.7125,0.7375
0.6825,0.6
0.73,0.7175
0.6975,0.6775
0.7175,0.72
0.7125,0.6925
0.7025,0.6775
0.6625,0.59
0.7,0.6625
0.75,0.78
0.7,0.6375
0.7075,0.71
0.6725,0.5825
0.7075,0.705
0.72,0.7
0.7025,0.645
0.7275,0.7475
0.665,0.6125
0.68,0.63
0.715,0.7225
0.7075,0.6725
0.735,0.775
0.675,0.6475
0.6925,0.6775
0.71,0.6975
0.7125,0.7225
0.6925,0.66
0.6975,0.675
0.71,0.6825
0.6725,0.6325
0.68,0.6
0.7525,0.765
0.7,0.6775
0.735,0.735
0.725,0.695
0.69,0.665
0.685,0.635
0.68,0.66
0.7225,0.7425
