Fc_real,Fc_pre
0.1,0.39
0.4275,0.45
0.62,0.62
0.6725,0.6725
0.685,0.645
0.705,0.695
0.73,0.705
0.735,0.7075
0.715,0.7425
0.74,0.7225
0.73,0.76
0.75,0.7875
0.695,0.63
0.735,0.695
0.7575,0.8025
0.7625,0.785
0.725,0.735
0.7125,0.715
0.72,0.6975
0.7125,0.7225
0.7475,0.765
0.7625,0.7575
0.7175,0.6975
0.7175,0.7025
0.74,0.7225
0.745,0.7275
0.73,0.7225
0.74,0.7125
0.78,0.83
0.715,0.705
0.7425,0.7425
0.725,0.6975
0.74,0.75
0.72,0.715
0.7725,0.7925
0.7175,0.71
0.7575,0.7225
0.77,0.795
0.745,0.74
0.7,0.655
0.7475,0.7425
0.7175,0.6725
0.75,0.7575
0.77,0.7975
0.6975,0.66
0.7625,0.8
0.74,0.7075
0.7425,0.73
0.7525,0.7975
0.695,0.6525
0.7525,0.7925
0.75,0.77
0.7425,0.75
0.735,0.69
0.73,0.7275
0.7475,0.755
0.7275,0.6775
0.7475,0.775
0.735,0.7375
0.7325,0.6925
0.75,0.77
0.72,0.6875
0.8,0.8425
0.745,0.76
0.735,0.745
0.76,0.75
0.7425,0.7325
0.7275,0.7425
0.73,0.7125
0.7125,0.635
0.75,0.7525
0.6975,0.6325
0.755,0.7925
0.68,0.625
0.7325,0.7575
0.72,0.705
0.76,0.7675
0.77,0.8075
0.715,0.685
0.7575,0.74
0.7425,0.7175
0.735,0.7325
0.74,0.715
0.7725,0.765
0.7275,0.695
0.7425,0.77
0.725,0.715
0.7375,0.7475
0.725,0.7275
0.7175,0.675
0.7675,0.7725
0.76,0.75
0.745,0.7425
0.7425,0.7325
0.765,0.755
0.6975,0.6325
0.76,0.785
0.7075,0.6875
0.7425,0.75
