Fc_real,Fc_pre
0.499591837,0.119183673
0.798367347,0.761632653
0.808979592,0.758367347
0.832653061,0.798367347
0.835102041,0.799183673
0.819591837,0.764081633
0.813061224,0.763265306
0.822857143,0.773877551
0.827755102,0.836938776
0.795918367,0.756122449
0.817142857,0.818163265
0.793469388,0.762653061
0.826122449,0.821428571
0.807346939,0.798571429
0.801632653,0.787959184
0.807346939,0.790408163
0.814693878,0.818163265
0.804897959,0.780612245
0.81877551,0.823877551
0.814693878,0.808367347
0.814693878,0.784693878
0.815510204,0.80755102
0.787755102,0.739795918
0.838367347,0.853265306
0.809795918,0.796938776
0.804897959,0.792857143
0.817142857,0.820612245
0.80244898,0.766734694
0.825306122,0.826326531
0.809795918,0.78877551
0.811428571,0.808367347
0.801632653,0.771632653
0.814693878,0.81
0.805714286,0.780612245
0.827755102,0.838571429
0.790204082,0.747959184
0.829387755,0.841836735
0.817142857,0.805918367
0.823673469,0.802653061
0.80244898,0.778163265
0.835918367,0.844285714
0.80244898,0.780612245
0.8,0.765918367
0.831836735,0.846734694
0.823673469,0.83122449
0.812244898,0.81
0.791020408,0.738163265
0.817959184,0.814081633
0.84244898,0.843469388
0.816326531,0.79122449
0.831836735,0.845918367
0.806530612,0.794489796
0.8,0.766734694
0.810612245,0.803469388
0.806530612,0.792857143
0.804897959,0.778163265
0.822040816,0.83122449
0.810612245,0.785510204
0.808163265,0.792040816
0.801632653,0.792040816
0.804897959,0.809183673
0.826122449,0.826326531
0.812244898,0.815714286
0.826122449,0.822244898
0.827755102,0.844285714
0.803265306,0.774897959
0.813061224,0.786326531
0.825306122,0.82877551
0.816326531,0.809183673
0.832653061,0.836938776
0.814693878,0.79122449
0.828571429,0.855714286
0.805714286,0.779795918
0.834285714,0.839387755
0.805714286,0.795306122
0.803265306,0.802653061
0.831836735,0.829591837
0.783673469,0.73
0.817959184,0.802653061
0.809795918,0.792857143
0.813061224,0.804285714
0.795918367,0.786326531
0.794285714,0.750408163
0.811428571,0.790408163
0.811428571,0.792040816
0.822040816,0.823877551
0.835918367,0.840204082
0.823673469,0.840204082
0.817142857,0.809183673
0.813877551,0.802653061
0.807346939,0.801836735
0.795918367,0.760204082
0.812244898,0.809183673
0.8,0.783061224
0.81877551,0.813265306
0.82122449,0.822244898
0.835102041,0.830408163
0.835102041,0.843469388
0.822040816,0.814081633
0.835918367,0.854897959
0.810612245,0.801020408
0.785306122,0.729183673
0.809795918,0.792857143
0.811428571,0.804285714
0.812244898,0.808367347
0.825306122,0.821428571
0.822040816,0.813265306
0.832653061,0.841836735
0.82122449,0.819795918
0.815510204,0.794489796
0.819591837,0.811632653
0.80244898,0.787959184
0.804897959,0.779795918
0.790204082,0.747959184
0.850612245,0.881020408
0.79755102,0.77
0.812244898,0.779795918
0.800816327,0.779795918
0.825306122,0.826326531
0.825306122,0.818163265
0.807346939,0.801020408
0.82122449,0.816530612
0.804081633,0.77244898
0.810612245,0.803469388
0.807346939,0.784693878
0.791020408,0.765918367
0.825306122,0.845918367
0.814693878,0.80755102
0.822857143,0.834489796
0.813877551,0.787959184
0.815510204,0.815714286
0.812244898,0.806734694
0.804897959,0.770816327
0.807346939,0.786326531
0.784489796,0.747959184
0.813061224,0.801020408
0.82122449,0.813265306
0.823673469,0.830408163
0.809795918,0.785510204
0.808163265,0.792040816
0.806530612,0.777346939
0.817959184,0.80755102
0.813877551,0.778163265
0.831836735,0.833673469
0.81877551,0.804285714
0.791020408,0.760204082
0.793469388,0.749591837
0.819591837,0.80755102
0.80244898,0.782244898
0.81877551,0.805918367
0.810612245,0.801020408
0.8,0.785510204
0.826122449,0.840204082
0.814693878,0.801836735
0.817142857,0.805918367
0.811428571,0.800204082
0.829387755,0.850816327
0.810612245,0.815714286
0.824489796,0.834489796
0.796734694,0.773265306
0.810612245,0.796938776
0.824489796,0.830408163
0.805714286,0.779795918
0.795918367,0.783061224
0.792653061,0.752857143
0.830204082,0.842653061
0.830204082,0.832040816
0.814693878,0.81244898
0.80244898,0.77244898
0.834285714,0.845918367
0.807346939,0.783061224
0.822857143,0.818979592
0.805714286,0.787142857
0.808979592,0.794489796
0.813061224,0.797755102
0.824489796,0.834489796
0.804897959,0.794489796
0.823673469,0.823061224
0.795918367,0.776530612
0.791836735,0.75122449
0.777142857,0.690816327
0.81877551,0.801836735
0.832653061,0.833673469
0.791020408,0.756938776
0.811428571,0.805102041
0.804897959,0.783061224
0.784489796,0.738979592
0.822857143,0.830408163
0.814693878,0.805918367
0.810612245,0.799387755
0.817142857,0.820612245
0.824489796,0.821428571
0.822040816,0.827142857
0.826122449,0.814081633
0.811428571,0.79122449
0.810612245,0.801836735
0.830204082,0.863877551
0.824489796,0.823061224
0.844897959,0.870408163
0.808979592,0.796122449
0.801632653,0.776530612
0.808979592,0.803469388
0.82122449,0.844285714
0.812244898,0.806734694
0.811428571,0.801020408
0.817142857,0.833673469
0.826122449,0.818163265
0.788571429,0.763469388
0.805714286,0.774081633
0.819591837,0.801020408
0.798367347,0.774897959
0.807346939,0.787959184
0.813061224,0.797755102
0.820408163,0.83122449
0.8,0.787959184
0.809795918,0.787959184
0.810612245,0.802653061
0.803265306,0.769183673
0.835102041,0.854081633
0.798367347,0.745510204
0.81877551,0.799387755
0.791836735,0.766734694
0.804081633,0.794489796
0.826122449,0.822244898
0.822040816,0.809183673
0.826122449,0.827959184
0.827755102,0.830408163
0.816326531,0.801020408
0.817959184,0.809183673
0.826122449,0.835306122
0.804897959,0.792857143
0.817142857,0.805918367
0.810612245,0.808367347
0.817959184,0.815714286
0.810612245,0.811632653
0.810612245,0.774897959
0.82122449,0.836938776
0.801632653,0.79122449
0.817959184,0.793673469
0.810612245,0.806734694
0.812244898,0.798571429
0.804897959,0.774081633
0.812244898,0.793673469
0.813877551,0.808367347
0.805714286,0.789591837
0.808979592,0.796122449
0.810612245,0.797755102
0.81877551,0.794489796
0.804081633,0.778979592
0.8,0.774897959
0.810612245,0.797755102
0.810612245,0.787142857
0.810612245,0.806734694
0.790204082,0.756122449
0.82122449,0.814897959
0.812244898,0.811632653
0.810612245,0.790408163
0.814693878,0.805918367
0.824489796,0.818979592
0.819591837,0.80755102
0.814693878,0.782244898
0.804081633,0.793673469
0.81877551,0.78877551
0.8,0.789591837
0.819591837,0.814897959
0.830204082,0.854081633
0.817142857,0.801836735
0.810612245,0.805102041
0.808163265,0.800204082
0.804081633,0.795306122
0.813877551,0.796938776
