Fc_real,Fd_real,Fe_real,Fc_pre,Fd_pre,Fe_pre
0.342347215,0.340183883,0.317468902,0.270616549,0.277934018,0.281449432
0.200108167,0.479177934,0.320713899,0.062736614,0.554191455,0.383071931
0.145484045,0.481341266,0.373174689,0.049756625,0.620173067,0.330070308
0.110870741,0.434288805,0.454840454,0.045429962,0.608815576,0.345754462
0.084910763,0.375338021,0.539751217,0.032990806,0.595835587,0.371173607
0.077339102,0.305029746,0.617631152,0.03190914,0.569875608,0.398215251
0.06760411,0.243374797,0.689021092,0.034613304,0.528772309,0.436614386
0.062195782,0.197404002,0.740400216,0.041644132,0.416333153,0.542022715
0.059491617,0.159004867,0.781503515,0.040562466,0.406598161,0.552839373
0.060573283,0.124391563,0.815035154,0.050838291,0.384964846,0.564196863
0.062736614,0.105462412,0.831800973,0.055164954,0.379556517,0.565278529
0.06381828,0.08436993,0.85181179,0.06381828,0.361709032,0.574472688
0.062736614,0.061654949,0.875608437,0.064899946,0.35197404,0.583126014
0.060573283,0.055705787,0.88372093,0.06381828,0.347106544,0.589075176
0.062736614,0.038939968,0.898323418,0.063277447,0.343320714,0.593401839
0.064359113,0.030827474,0.904813413,0.070308275,0.337371552,0.592320173
0.065981612,0.026500811,0.907517577,0.072471606,0.235749054,0.69177934
0.068144943,0.02433748,0.907517577,0.075716604,0.234126555,0.690156842
0.075175771,0.023796647,0.901027582,0.082206598,0.228177393,0.689616009
0.076798269,0.023796647,0.899405084,0.087074094,0.126014062,0.786911844
0.076798269,0.027041644,0.896160087,0.08436993,0.132504056,0.783126014
0.075716604,0.030286641,0.893996755,0.083829097,0.133585722,0.782585181
0.074094105,0.032449973,0.893455922,0.078961601,0.136830719,0.78420768
0.076257436,0.03569497,0.888047593,0.080043267,0.142239048,0.777717685
0.079502434,0.040021633,0.880475933,0.086533261,0.136830719,0.776636019
0.082206598,0.043266631,0.874526771,0.085992428,0.137912385,0.776095187
0.081665765,0.048674959,0.869659275,0.083288264,0.142779881,0.773931855
0.082206598,0.05246079,0.865332612,0.082206598,0.143861547,0.773931855
0.085992428,0.045429962,0.86857761,0.089237426,0.141157382,0.769605192
0.085451595,0.043266631,0.871281774,0.090859924,0.141157382,0.767982693
0.081665765,0.044889129,0.873445105,0.085992428,0.141698215,0.772309356
0.093023256,0.040562466,0.866414278,0.093564089,0.138994051,0.76744186
0.094104922,0.045429962,0.860465116,0.095186587,0.134126555,0.770686858
0.09572742,0.047052461,0.857220119,0.098431585,0.138994051,0.762574365
0.103839913,0.045970795,0.850189292,0.102758248,0.137371552,0.7598702
0.101135749,0.049215792,0.849648459,0.102217415,0.140616549,0.757166036
0.107084911,0.048134127,0.844780963,0.109789075,0.139534884,0.750676041
0.111952407,0.053001622,0.835045971,0.109789075,0.138994051,0.751216874
0.115197404,0.054083288,0.830719308,0.118442401,0.135749054,0.745808545
0.121146566,0.055164954,0.82368848,0.120605733,0.140075717,0.739318551
0.121146566,0.065981612,0.812871823,0.119524067,0.139534884,0.740941049
0.12763656,0.060573283,0.811790157,0.13142239,0.136830719,0.73174689
0.136830719,0.060573283,0.802595998,0.139534884,0.137912385,0.722552731
0.141157382,0.06003245,0.798810168,0.143861547,0.132504056,0.723634397
0.144943213,0.065981612,0.789075176,0.14440238,0.130340725,0.725256896
0.154678204,0.065440779,0.779881017,0.156300703,0.132504056,0.711195241
0.156300703,0.066522445,0.777176852,0.162790698,0.126014062,0.711195241
0.160086533,0.074094105,0.765819362,0.159004867,0.129799892,0.711195241
0.160627366,0.078961601,0.760411033,0.161709032,0.130340725,0.707950243
0.166576528,0.074634938,0.758788534,0.173607355,0.127095727,0.699296917
0.170903191,0.076257436,0.752839373,0.180638183,0.128177393,0.691184424
0.178474851,0.075716604,0.745808545,0.194159005,0.120605733,0.685235262
0.179556517,0.0805841,0.739859383,0.192536506,0.127095727,0.680367766
0.18009735,0.089778259,0.730124392,0.188209843,0.133585722,0.678204435
0.188209843,0.083288264,0.728501893,0.192536506,0.13142239,0.676041103
0.194159005,0.084910763,0.720930233,0.198485668,0.133585722,0.66792861
0.203353164,0.08815576,0.708491076,0.206598161,0.132504056,0.660897783
0.21579232,0.083288264,0.700919416,0.21957815,0.133044889,0.647376961
0.220659816,0.084910763,0.694429421,0.226608978,0.130881558,0.642509465
0.229853975,0.078961601,0.691184424,0.236884803,0.133044889,0.630070308
0.242833964,0.078420768,0.678745268,0.25148729,0.130881558,0.617631152
0.253109789,0.078961601,0.66792861,0.260681449,0.133585722,0.605732829
0.268793943,0.076257436,0.654948621,0.276365603,0.129799892,0.593834505
0.277447269,0.078961601,0.64359113,0.288804759,0.12385073,0.587344511
0.288263926,0.087614927,0.624121147,0.30016225,0.122228231,0.577609519
0.300703083,0.087074094,0.612222823,0.319632234,0.126014062,0.554353705
0.306652244,0.086533261,0.606814494,0.331530557,0.116819903,0.55164954
0.316387236,0.089778259,0.593834505,0.349918875,0.1200649,0.530016225
0.32828556,0.094645754,0.577068686,0.357490535,0.117360736,0.525148729
0.329367226,0.108166577,0.562466198,0.353163872,0.129799892,0.517036236
0.329367226,0.117901568,0.552731206,0.362898864,0.126014062,0.511087074
0.320713899,0.137371552,0.541914548,0.34342888,0.13142239,0.525148729
0.317468902,0.149810708,0.532720389,0.341265549,0.134126555,0.524607896
0.315305571,0.152514873,0.532179557,0.346673878,0.128718226,0.524607896
0.321254732,0.153055706,0.525689562,0.342347215,0.130881558,0.526771228
0.332612223,0.150351541,0.517036236,0.357490535,0.128718226,0.513791239
0.334234721,0.161168199,0.50459708,0.35640887,0.145484045,0.498107085
0.341806382,0.167658194,0.490535425,0.366143862,0.152514873,0.481341266
0.342347215,0.168739859,0.488912926,0.354245538,0.135749054,0.510005408
0.352623039,0.17252569,0.474851271,0.357490535,0.150892374,0.49161709
0.350459708,0.181719849,0.467820443,0.358031368,0.15197404,0.489994592
0.354786371,0.184964846,0.460248783,0.365062196,0.15575987,0.479177934
0.3601947,0.187128177,0.452677123,0.36776636,0.157923202,0.474310438
0.367225527,0.186587345,0.446187128,0.378583018,0.154678204,0.466738778
0.368307193,0.197404002,0.434288805,0.373174689,0.163872363,0.462952948
0.369929692,0.20443483,0.425635479,0.378583018,0.153596539,0.467820443
0.378583018,0.202812331,0.418604651,0.390481341,0.164954029,0.44456463
0.380746349,0.206057328,0.413196322,0.390481341,0.159004867,0.450513791
0.381828015,0.205516495,0.412655489,0.382368848,0.175770687,0.441860465
0.394808004,0.198485668,0.406706328,0.398053002,0.174148188,0.42779881
0.396430503,0.193077339,0.410492158,0.402920498,0.171444024,0.425635479
0.404002163,0.191995673,0.404002163,0.406165495,0.160086533,0.433747972
0.404002163,0.198485668,0.397512169,0.407247161,0.161709032,0.431043807
0.417522985,0.187128177,0.395348837,0.428339643,0.154678204,0.416982153
0.430502975,0.18766901,0.381828015,0.441319632,0.157923202,0.400757166
0.42779881,0.194699838,0.377501352,0.428339643,0.150892374,0.420767983
0.43158464,0.190373175,0.378042185,0.436452136,0.148729043,0.414818821
0.435370471,0.190373175,0.374256355,0.446727961,0.143320714,0.409951325
0.438615468,0.193077339,0.368307193,0.450513791,0.133585722,0.415900487
0.433207139,0.196322336,0.370470525,0.455381287,0.138453218,0.406165495
0.424553813,0.202271498,0.373174689,0.440778799,0.137912385,0.421308816
0.42779881,0.199567334,0.372633856,0.449432125,0.130340725,0.42022715
0.427257977,0.197944835,0.374797188,0.454840454,0.129799892,0.415359654
0.438615468,0.188750676,0.372633856,0.468902109,0.118442401,0.412655489
0.421849648,0.209302326,0.368848026,0.445105462,0.126554895,0.428339643
0.419145484,0.216333153,0.364521363,0.431043807,0.12763656,0.441319632
0.3996755,0.237425635,0.362898864,0.408328826,0.146565711,0.445105462
0.394267171,0.24391563,0.361817198,0.404002163,0.147106544,0.448891293
0.385073012,0.243374797,0.37155219,0.3996755,0.142779881,0.457544619
0.38831801,0.239048134,0.372633856,0.397512169,0.151433207,0.451054624
0.383450514,0.242833964,0.373715522,0.38831801,0.154678204,0.457003786
0.364521363,0.262844781,0.372633856,0.368848026,0.173066522,0.458085452
0.358572201,0.266630611,0.374797188,0.361817198,0.186046512,0.45213629
0.346673878,0.266089778,0.387236344,0.342347215,0.191995673,0.465657112
0.334775554,0.266630611,0.398593835,0.339102217,0.180638183,0.4802596
0.323418064,0.262844781,0.413737155,0.320713899,0.170903191,0.50838291
0.315305571,0.273120606,0.411573824,0.315846403,0.18009735,0.504056247
0.312060573,0.269334776,0.418604651,0.323418064,0.181719849,0.494862088
0.302325581,0.26446728,0.433207139,0.314223905,0.178474851,0.507301244
0.301784749,0.253650622,0.44456463,0.310978908,0.167117361,0.521903732
0.297458085,0.246078962,0.456462953,0.306111412,0.1595457,0.534342888
0.287723094,0.247160627,0.465116279,0.293131422,0.154678204,0.552190373
0.284478096,0.241752299,0.473769605,0.290427258,0.141698215,0.567874527
0.273120606,0.244997296,0.481882098,0.270957274,0.141157382,0.587885343
0.273120606,0.228772309,0.498107085,0.285018929,0.139534884,0.575446187
0.265548945,0.225527312,0.508923743,0.277447269,0.143861547,0.578691184
0.259058951,0.231476474,0.509464575,0.270416441,0.153596539,0.57598702
0.252568956,0.223363981,0.524067063,0.269875608,0.149269876,0.580854516
0.255813953,0.213088156,0.531097891,0.269875608,0.14440238,0.585722012
0.255273121,0.210383991,0.534342888,0.269875608,0.139534884,0.590589508
0.24770146,0.21200649,0.54029205,0.248242293,0.145484045,0.606273661
0.244456463,0.208761493,0.546782044,0.236884803,0.129799892,0.633315306
0.237966468,0.209843158,0.552190373,0.234721471,0.130340725,0.634937804
0.240670633,0.206057328,0.553272039,0.23634397,0.135208221,0.62844781
0.228231476,0.216333153,0.55543537,0.222823148,0.13142239,0.645754462
0.225527312,0.210924824,0.563547864,0.216873986,0.142239048,0.640886966
0.217414819,0.213088156,0.569497025,0.214710654,0.142779881,0.642509465
0.21200649,0.214169822,0.573823688,0.206598161,0.156841536,0.636560303
0.214169822,0.197404002,0.588426176,0.209302326,0.143320714,0.647376961
0.214169822,0.196322336,0.589507842,0.207679827,0.14440238,0.647917793
0.211465657,0.189832342,0.598702001,0.204975663,0.142239048,0.652785289
0.205516495,0.189832342,0.604651163,0.194159005,0.14440238,0.661438615
0.203353164,0.192536506,0.60411033,0.184424013,0.152514873,0.663061114
0.194699838,0.199026501,0.606273661,0.171984857,0.163331531,0.664683613
0.193618172,0.194159005,0.612222823,0.180638183,0.169821525,0.649540292
0.189291509,0.188750676,0.621957815,0.17252569,0.171444024,0.656030287
0.188750676,0.192536506,0.618712818,0.164413196,0.178474851,0.657111952
0.189832342,0.17631152,0.633856138,0.170362358,0.177934018,0.651703624
0.191995673,0.162249865,0.645754462,0.169821525,0.169821525,0.66035695
0.200648999,0.15197404,0.647376961,0.184424013,0.165494862,0.650081125
0.215251487,0.135208221,0.649540292,0.204975663,0.161168199,0.633856138
0.220659816,0.134667388,0.644672796,0.211465657,0.153596539,0.634937804
0.229313142,0.127095727,0.64359113,0.218496485,0.149810708,0.631692807
0.242833964,0.122228231,0.634937804,0.239588967,0.146565711,0.613845322
0.236884803,0.136289886,0.626825311,0.227149811,0.149810708,0.623039481
0.246619794,0.142239048,0.611141157,0.236884803,0.1595457,0.603569497
0.248242293,0.135749054,0.616008653,0.241752299,0.149810708,0.608436993
0.260681449,0.130881558,0.608436993,0.259058951,0.147106544,0.593834505
0.269334776,0.13142239,0.599242834,0.262303948,0.141157382,0.59653867
0.288263926,0.122228231,0.589507842,0.278528935,0.134667388,0.586803678
0.30394808,0.114115738,0.581936182,0.305029746,0.123309897,0.571660357
0.308274743,0.121687399,0.570037858,0.302325581,0.136830719,0.560843699
0.30773391,0.126014062,0.566252028,0.312060573,0.135749054,0.552190373
0.313142239,0.122228231,0.564629529,0.316928069,0.133585722,0.549486209
0.320713899,0.118983234,0.560302866,0.323958897,0.132504056,0.543537047
0.334234721,0.106544078,0.559221201,0.342347215,0.123309897,0.534342888
0.346673878,0.098431585,0.554894538,0.354245538,0.125473229,0.520281233
0.353704705,0.100054083,0.546241211,0.37155219,0.123309897,0.505137912
0.352623039,0.108707409,0.538669551,0.362358031,0.133044889,0.50459708
0.364521363,0.115197404,0.520281233,0.374256355,0.134667388,0.491076257
0.376960519,0.109248242,0.513791239,0.382909681,0.134667388,0.482422931
0.381287182,0.109248242,0.509464575,0.387236344,0.132504056,0.4802596
0.383991347,0.118983234,0.497025419,0.386695511,0.13142239,0.481882098
0.390481341,0.12385073,0.485667929,0.387777177,0.141157382,0.471065441
0.397512169,0.117901568,0.484586263,0.396430503,0.133585722,0.469983775
0.400757166,0.11249324,0.486749594,0.404002163,0.134126555,0.461871282
0.396971336,0.122769064,0.4802596,0.386695511,0.139534884,0.473769605
0.405083829,0.118983234,0.475932937,0.398593835,0.126554895,0.474851271
0.408328826,0.126014062,0.465657112,0.401297999,0.122769064,0.475932937
0.413737155,0.12763656,0.458626284,0.414818821,0.122228231,0.462952948
0.426717144,0.141698215,0.43158464,0.429421309,0.131963223,0.438615468
0.433747972,0.144943213,0.421308816,0.431043807,0.139534884,0.429421309
0.438615468,0.147647377,0.413737155,0.428880476,0.155219037,0.415900487
0.452677123,0.150892374,0.396430503,0.441319632,0.146565711,0.412114657
0.45970795,0.149810708,0.390481341,0.459167117,0.135208221,0.405624662
0.467279611,0.153055706,0.379664684,0.464034613,0.14440238,0.391563007
0.470524608,0.154678204,0.374797188,0.473769605,0.139534884,0.386695511
0.483504597,0.143320714,0.373174689,0.481882098,0.135208221,0.382909681
0.491076257,0.146024878,0.362898864,0.500811249,0.136830719,0.362358031
0.506219578,0.134126555,0.359653867,0.518117902,0.121146566,0.360735533
0.513791239,0.136289886,0.349918875,0.526771228,0.110870741,0.362358031
0.51216874,0.137912385,0.349918875,0.526771228,0.107625744,0.365603029
0.524067063,0.131963223,0.343969713,0.540832883,0.094645754,0.364521363
0.535424554,0.133585722,0.330989724,0.555976203,0.107625744,0.336398053
0.535424554,0.137371552,0.327203894,0.559762034,0.093564089,0.346673878
0.55164954,0.137371552,0.310978908,0.57220119,0.090859924,0.336938886
0.553272039,0.137912385,0.308815576,0.57977285,0.09194159,0.32828556
0.555976203,0.146565711,0.297458085,0.582477015,0.097349919,0.320173067
0.546782044,0.164413196,0.288804759,0.566252028,0.098431585,0.335316387
0.535965387,0.176852353,0.287182261,0.55543537,0.097890752,0.346673878
0.538128718,0.167658194,0.294213088,0.557057869,0.106544078,0.336398053
0.532179557,0.17252569,0.295294754,0.554894538,0.107625744,0.337479719
0.535965387,0.167117361,0.296917253,0.559762034,0.107625744,0.332612223
