x,y,z
-22.398865,5.2086506,0.40072697
-22.076063,4.271328,-0.6682627
-21.219893,1.865888,-3.1332319
-20.973875,1.2220796,-3.6227045
-14.948734,-7.1768126,0.7701296
-0.9060446,-8.482609,5.7036223
7.0931163,1.914855,-8.156872
-14.518839,-6.873936,1.8803298
-21.864697,3.6567295,-1.3492314
-18.059078,-4.900092,-4.436848
-14.587503,-6.9442387,1.696316
2.0931687,6.59502,5.90504
-17.634405,-5.567358,-4.08552
-20.114824,-0.866418,-4.6629477
-22.438477,5.3344054,0.5379739
-15.683264,-7.2525034,-0.93984324
-0.6204279,-7.3299317,7.1824455
11.0078335,-7.9400487,-1.7817205
-12.159988,0.58163655,7.284412
4.5810547,7.7840147,-3.2637434
-11.476048,3.8245387,6.952087
-10.947447,6.022048,5.9219923
1.6600658,5.124135,7.5014687
7.4688773,0.7848659,-8.384161
-0.293798,-5.6970735,8.730865
-14.1922245,-6.3910546,2.8050048
-14.810347,-7.130192,1.1056671
-19.568167,-2.0722435,-4.9251666
-21.849821,3.6173165,-1.3919959
-20.232758,-0.5891543,-4.5578456
-13.909199,-5.8437047,3.631133
14.761977,3.5292065,6.519523
11.8582,-7.440241,1.8724608
-10.310359,8.224332,3.8626719
-22.592619,5.8381076,1.377403
-22.506962,5.5915003,0.80474156
-21.036974,1.3762083,-3.541958
-21.652727,3.0575762,-1.9924722
-21.668348,3.1018882,-1.9464012
-21.056566,1.4365474,-3.4858832
0.4891943,-0.8886977,10.169313
1.9408644,6.0854535,6.4747887
-10.892401,6.221105,5.789888
-20.220884,-0.6167361,-4.568679
-21.704374,3.2046363,-1.8385818
-13.604286,-4.959029,4.529704
-17.79095,-5.3363256,-4.240684
-13.216492,-3.8266885,5.5709167
-22.11315,4.3791,-0.5465043
-21.690084,3.1636975,-1.8817943
-16.305895,-7.0032325,-2.1978981
-0.16264766,-4.941598,9.205829
-12.092367,0.8983584,7.293357
-9.389784,9.5889435,-0.06501956
-12.079995,0.96283364,7.331098
-10.233809,8.325061,3.7046394
-12.50744,-1.0330263,6.9397755
2.196283,7.1446004,5.4781075
16.44778,6.3646436,3.692255
12.836467,-4.2087545,5.6956964
6.414044,3.8104432,-7.359898
-1.6962091,-9.896405,1.220013
-8.076448,8.592592,-4.6712084
-12.119504,0.77528936,7.3199067
-12.26292,0.09800483,7.2116737
-7.466252,7.260341,-6.57452
1.5718687,4.802116,7.8217506
1.227998,3.2476563,8.924901
-14.494437,-6.8398323,1.9486405
-20.780178,0.73660636,-3.919642
-12.126429,0.7445281,7.333639
-15.22167,-7.269538,0.098839395
-15.9537,-7.1849704,-1.5135037
-22.321901,4.982747,0.16079685
-19.998158,-1.1367444,-4.758675
-15.391942,-7.2506037,-0.27905256
12.444622,-5.857043,4.3765154
-5.119946,-1.108543,-9.550452
-18.959213,-3.277872,-4.8679743
-19.305233,-2.6118538,-4.9476233
-19.707972,-1.7753428,-4.891374
-13.705263,-5.243473,4.2437506
-18.920954,-3.3479788,-4.853185
-16.587515,-6.7689533,-2.6703458
-17.394955,-5.8783545,-3.808473
-12.195948,0.41233587,7.2678456
0.04517559,-3.6547263,9.731601
-10.280995,7.8637543,4.1431346
-11.6449585,3.034076,7.136147
-1.5428897,-9.799117,2.097747
-11.47323,3.8375573,6.9487915
-11.831572,2.1483178,7.2590895
3.7267494,9.205894,-0.5147115
