x,y,z
22.952726,-2.233511,7.287581
23.016666,-2.011992,7.4431725
22.319422,-3.4254441,5.460912
21.777685,-4.0853124,3.7901835
8.214821,-5.316269,7.664842
-0.20879276,10.321534,0.3923375
-2.548078,4.413591,8.6879635
12.137397,7.01394,3.8674874
22.822313,-2.6017022,6.948368
19.368664,-4.8096848,-3.0734208
16.919346,-1.0399152,-7.263769
4.6191673,-7.059687,-6.0109286
10.650339,3.8017945,7.697557
16.403528,0.26513433,-7.5665326
19.431984,-4.841537,-2.9135053
6.948176,-8.625034,3.3818266
-1.9289718,6.495846,7.4293914
-6.570338,-8.849577,3.909096
7.543661,-7.4876823,5.6969743
2.9494865,-1.1970218,-9.726242
14.673076,5.186434,-5.9165874
13.707178,7.304265,-2.6386268
2.0183027,3.1254528,-9.663608
-3.3202465,1.7235737,9.655665
-0.8008335,9.573902,3.637548
9.150327,-1.6550404,9.038844
8.816792,-3.0256367,8.764117
15.431822,3.0016823,-7.298719
20.538733,-4.974884,0.07288437
18.39335,-3.7307591,-5.4335847
9.604597,0.17375508,9.021684
0.07815234,10.290949,-1.3699832
2.6830654,-0.006750727,-9.920983
16.902584,-0.9990452,-7.2771482
23.11259,-1.658636,7.66279
22.620514,-2.988459,6.369685
20.786142,-4.8676705,0.7990882
22.831526,-2.581578,6.9717774
22.231575,-3.5407715,5.193364
20.236858,-5.0205097,-0.7772199
-0.4392788,10.171253,1.6181937
-1.1638727,8.777935,4.8841133
10.690805,3.8309357,7.6949153
17.757084,-2.8183014,-6.2814045
22.597097,-3.026365,6.3043103
13.174687,7.7156515,-0.34747344
14.6502495,5.248453,-5.858519
12.212712,7.078557,3.7799125
19.623293,-4.9117312,-2.4226322
18.392006,-3.9168682,-5.1573677
13.330475,7.6621633,-1.0304917
1.8157759,4.094123,-9.355883
7.1216216,-8.677957,4.269104
7.8242598,-6.600241,6.566992
13.624073,7.431042,-2.288561
13.727327,7.273117,-2.7168765
16.894667,-0.9797633,-7.283382
-0.39559576,10.0968,2.6528723
-13.173985,8.281203,1.406205
-7.5184383,-9.797686,-0.465868
-2.390688,4.9582076,8.451782
3.615738,-3.8050694,-8.836426
4.3542438,-6.337787,-6.8299704
10.325588,2.5753727,8.42406
7.7833023,-6.720685,6.437065
4.0218015,-5.3308377,-7.77411
0.8788762,8.294879,-6.173822
3.4691236,-3.379319,-9.012946
14.299493,6.141857,-4.8299627
20.547817,-4.971601,0.09868279
9.152797,-1.6465513,9.010752
15.314996,3.3430126,-7.1420054
17.269297,-1.8296274,-6.9128795
22.52702,-3.1324756,6.094646
16.084223,1.1325169,-7.5982866
8.836476,-2.9369733,8.750698
-2.5879176,4.276871,8.749817
4.91966,-7.8109097,-5.0295444
19.140306,-4.6687098,-3.6289885
14.87194,4.626644,-6.3581967
18.303654,-3.7628384,-5.3438945
12.032702,6.821265,4.2415223
14.470229,5.717006,-5.353146
13.081641,7.7224307,0.05991435
13.977741,6.838573,-3.6990929
7.4267173,-7.655266,5.218148
1.0666455,7.535144,-7.0358567
5.905885,-9.162135,-1.1237985
7.915516,-6.3106437,6.8386436
5.166692,-8.257942,-4.1074643
14.040007,6.713896,-3.931474
13.110818,7.7232094,-0.0674502
-5.8838325,-7.1505237,6.379305
-13.477872,8.043719,2.8873863
-7.658591,-9.76555,-1.1489416
0.8744976,8.327513,-6.184136
2.1602888,2.4447832,-9.801554
7.4001646,-7.804401,5.1638465
1.2215315,6.859363,-7.661995
1.2084954,6.916212,-7.614046
1.2630693,6.6758943,-7.82019
6.290292,-9.153704,0.5540986
3.466487,-3.361183,-9.021255
3.9864194,-5.2220693,-7.8629236
9.904969,1.3201625,8.813585
5.207835,-8.326237,-3.950538
5.289671,-8.451707,-3.6319714
12.264249,7.199695,3.3902376
9.178165,-1.5424341,9.024431
9.3316145,-0.91738325,9.075469
-1.5281314,7.750807,6.242836
-2.9508479,3.0150099,9.228257
2.9962633,-1.4021524,-9.68156
8.646092,-3.7024207,8.521133
13.781064,7.188072,-2.9323273
7.0017266,-8.542773,3.5982664
7.605161,-7.2334604,5.8601284
0.5735374,9.344916,-4.5142736
-0.45613992,10.13254,1.9753501
-4.455833,-2.3888888,9.261983
-6.636942,-9.07196,3.6649706
-3.9927049,-0.7209242,9.54249
-1.7395056,7.1069207,6.917465
1.5888783,5.170407,-8.834545
0.5661965,9.346151,-4.4618893
6.794773,-8.818769,2.7393217
0.94256,8.123646,-6.626986
-8.119735,-9.240633,-3.3359582
-10.796463,3.7463837,-7.2416463
-7.1802964,-9.670548,1.1652856
7.1859884,-8.401592,4.4332347
11.231323,5.2109776,6.5126295
5.958033,-9.158868,-0.8955132
5.801155,-9.065517,-1.5569712
2.528778,0.70090204,-9.964905
4.1349773,-5.687708,-7.4704857
12.044181,6.8406897,4.2109704
9.398362,-0.64425355,9.087014
0.6523792,9.085049,-4.9673347
1.5557544,5.3259697,-8.744745
6.6114135,-8.999241,1.954217
6.724037,-8.897636,2.438424
1.6961572,4.664832,-9.110428
0.53976923,9.397412,-4.2929053
-1.7644607,7.027162,6.9918585
-7.345343,-9.773456,0.37568107
-8.409577,-8.636671,-4.623173
-4.3878784,-2.1426303,9.311756
6.4708576,-9.089073,1.3430007
4.723903,-7.332996,-5.677962
4.177625,-5.8204136,-7.342107
1.5597383,5.306081,-8.755865
-4.325635,-1.9191929,9.360186
-9.347552,-5.327655,-7.8055644
-10.35946,-0.32496163,-8.808661
-9.793406,-3.1882825,-8.631839
-8.206964,-9.076466,-3.7315545
-2.0390127,6.134729,7.6944695
-3.3163671,1.720195,9.521575
-0.7116473,9.839198,2.7720284
-5.559841,-6.160014,7.277513
-3.7307088,0.22586837,9.582625
