ACC,F1,TPR,FPR,,,ACC,F1,TPR,FPR,ACC_std,F1_std,TPR_std,FPR_std
0.558328681,0.429611835,0.512807364,0.419747904,,,0.862659478,0.805142255,0.730736371,0.052652963,0.075096349,0.103734059,0.119944596,0.064289707
0.649994583,0.343252156,0.407392319,0.279566886,,,,,,,,,,
0.633328056,0.449520487,0.3599928,0.171426122,,,,,,,,,,
0.691660903,0.531182561,0.403838388,0.088233997,,,,,,,,,,
0.74999375,0.614908955,0.4799904,0.057142041,,,,,,,,,,
0.824993125,0.726784583,0.583321181,0.013888696,,,,,,,,,,
0.758327014,0.622905374,0.4799904,0.042856531,,,,,,,,,,
0.741660486,0.64322714,0.474568228,0,,,,,,,,,,
0.833326389,0.736357633,0.583321181,0,,,,,,,,,,
0.841659653,0.724147331,0.581381828,0.012986844,,,,,,,,,,
0.849992917,0.742350929,0.634130875,0.037974203,,,,,,,,,,
0.908325764,0.844558901,0.731689471,0,,,,,,,,,,
0.849992917,0.756249765,0.651147648,0.038960533,,,,,,,,,,
0.833326389,0.761405066,0.6399872,0.02857102,,,,,,,,,,
0.883325972,0.810298325,0.714268708,0.025640697,,,,,,,,,,
0.874992708,0.814304213,0.717375709,0.027026662,,,,,,,,,,
0.866659445,0.799488115,0.711095309,0.039999467,,,,,,,,,,
0.833326389,0.755594005,0.645819879,0.041666088,,,,,,,,,,
0.891659236,0.856634503,0.749985577,0,,,,,,,,,,
0.916659028,0.860593648,0.774980625,0.012499844,,,,,,,,,,
0.908325764,0.848803434,0.738077665,0,,,,,,,,,,
0.874992708,0.799493982,0.681802686,0.013157722,,,,,,,,,,
0.908325764,0.830253544,0.729710008,0.012048048,,,,,,,,,,
0.858326181,0.760059025,0.642841837,0.025640697,,,,,,,,,,
0.883325972,0.787362567,0.702683711,0.036144143,,,,,,,,,,
0.908325764,0.848796686,0.774980625,0.024999688,,,,,,,,,,
0.924992292,0.879484009,0.785695579,0,,,,,,,,,,
0.8999925,0.84159585,0.727256199,0,,,,,,,,,,
0.908325764,0.860247675,0.755538766,0,,,,,,,,,,
0.8999925,0.856629819,0.76594115,0.013698442,,,,,,,,,,
0.883325972,0.820003906,0.711095309,0.013333156,,,,,,,,,,
0.858326181,0.760059025,0.642841837,0.025640697,,,,,,,,,,
0.908325764,0.819152138,0.735272492,0.023255544,,,,,,,,,,
0.908325764,0.80649338,0.741911551,0.033707486,,,,,,,,,,
0.966658611,0.925392589,0.892825256,0.010869447,,,,,,,,,,
0.94165882,0.884723737,0.794094291,0,,,,,,,,,,
0.924992292,0.851934716,0.787854913,0.022988242,,,,,,,,,,
0.883325972,0.780749801,0.641009205,0,,,,,,,,,,
0.866659445,0.723634679,0.599982858,0.023529135,,,,,,,,,,
0.974991875,0.926287003,0.863597109,0,,,,,,,,,,
0.983325139,0.954003362,0.913003782,0,,,,,,,,,,
0.949992083,0.888362415,0.799973334,0,,,,,,,,,,
0.908325764,0.819152138,0.735272492,0.023255544,,,,,,,,,,
0.966658611,0.925392589,0.892825256,0.010869447,,,,,,,,,,
0.924992292,0.851931495,0.838682623,0.044943315,,,,,,,,,,
0.933325556,0.885190893,0.837815194,0.024096095,,,,,,,,,,
