ACC,F1,TPR,FPR,,,,,,,,,
0.458329514,0.628133518,0.458329514,0,,0.860242831,0.695138524,0.631189521,0.057506078,0.088166208,0.15846996,0.189286277,0.058918973
0.658327847,0,0,0.341663819,,,,,,,,,
0.466662778,0.428155997,0.29999625,0.199995,,,,,,,,,
0.666661111,0.523311391,0.448970429,0.183096013,,,,,,,,,
0.74999375,0.48226385,0.399988572,0.105881107,,,,,,,,,
0.808326597,0.438510963,0.391287335,0.092782549,,,,,,,,,
0.799993333,0.555068977,0.441163495,0.058138859,,,,,,,,,
0.816659861,0.559542734,0.411752596,0.023255544,,,,,,,,,
0.741660486,0.366962461,0.243236669,0.036144143,,,,,,,,,
0.799993333,0.293608092,0.263144045,0.099008921,,,,,,,,,
0.791660069,0.389792265,0.285704082,0.054347235,,,,,,,,,
0.799993333,0.368069535,0.233325556,0.011110988,,,,,,,,,
0.791660069,0.444033915,0.303021121,0.022988242,,,,,,,,,
0.849992917,0.525877045,0.370356653,0.010752573,,,,,,,,,
0.833326389,0.443995768,0.319987201,0.031578615,,,,,,,,,
0.733327222,0.332989896,0.210520776,0.024389946,,,,,,,,,
0.758327014,0.382604217,0.249993056,0.02380924,,,,,,,,,
0.908325764,0.521270655,0.374976564,0.009615292,,,,,,,,,
0.891659236,0.518036041,0.388867285,0.019607651,,,,,,,,,
0.883325972,0.631095885,0.479980801,0.010526205,,,,,,,,,
0.874992708,0.594106993,0.458314237,0.020833116,,,,,,,,,
0.933325556,0.732820293,0.578916899,0,,,,,,,,,
0.908325764,0.592104581,0.444419754,0.009803825,,,,,,,,,
0.891659236,0.605546748,0.499975001,0.0299997,,,,,,,,,
0.883325972,0.56201403,0.428551021,0.020201816,,,,,,,,,
0.908325764,0.66618211,0.499977274,0,,,,,,,,,
0.94165882,0.787353825,0.649967502,0,,,,,,,,,
0.908325764,0.702209204,0.541644098,0,,,,,,,,,
0.891659236,0.682444076,0.518499315,0,,,,,,,,,
0.908325764,0.685195438,0.571401362,0.020201816,,,,,,,,,
0.94165882,0.69510054,0.615337282,0.018691414,,,,,,,,,
