ACC,F1,TPR,FPR,,,,,,,,,
0.591661736,0.679247981,0.571422292,0.344815696,,0.900159165,0.865999293,0.807624244,0.037101253,0.081750805,0.097537707,0.118735794,0.059096159
0.541662153,0.4080968,0.3799924,0.342852245,,,,,,,,,
0.566661944,0.446314017,0.38181124,0.276918817,,,,,,,,,
0.633328056,0.559513403,0.459008869,0.186437518,,,,,,,,,
0.691660903,0.601680078,0.466658889,0.083331944,,,,,,,,,
0.783326806,0.722916559,0.58619679,0.032257544,,,,,,,,,
0.841659653,0.724140619,0.595223923,0.025640697,,,,,,,,,
0.791660069,0.683069684,0.529401384,0.014492544,,,,,,,,,
0.849992917,0.756259978,0.622208395,0.013333156,,,,,,,,,
0.866659445,0.732818107,0.647039793,0.046511087,,,,,,,,,
0.908325764,0.791924843,0.749973215,0.043477788,,,,,,,,,
0.916659028,0.843231733,0.749979167,0.01190462,,,,,,,,,
0.924992292,0.86904544,0.789452909,0.012194973,,,,,,,,,
0.858326181,0.760059025,0.642841837,0.025640697,,,,,,,,,
0.916659028,0.827072817,0.705861592,0,,,,,,,,,
0.94165882,0.850529944,0.799968001,0.02105241,,,,,,,,,
0.933325556,0.85661827,0.774168575,0.011235829,,,,,,,,,
0.924992292,0.822997613,0.839966401,0.052631025,,,,,,,,,
0.966658611,0.925391904,0.925891634,0.021505145,,,,,,,,,
0.949992083,0.905726346,0.828547756,0,,,,,,,,,
0.949992083,0.911242052,0.837815194,0,,,,,,,,,
0.924992292,0.879484009,0.785695579,0,,,,,,,,,
0.949992083,0.916144945,0.84613215,0,,,,,,,,,
0.883325972,0.815276958,0.720913467,0.025973689,,,,,,,,,
0.916659028,0.83281085,0.757552801,0.022988242,,,,,,,,,
0.949992083,0.908565471,0.857118368,0.011764567,,,,,,,,,
0.974991875,0.946835599,0.964251277,0.021738894,,,,,,,,,
0.991658403,0.984545587,0.970559689,0,,,,,,,,,
0.983325139,0.970059947,0.970559689,0.011627772,,,,,,,,,
0.983325139,0.971695859,0.945920381,0,,,,,,,,,
0.974991875,0.95947546,0.999972223,0.035713861,,,,,,,,,
0.983325139,0.97315919,0.948693623,0,,,,,,,,,
0.958325347,0.927009722,0.914259593,0.023529135,,,,,,,,,
0.949992083,0.913763535,0.842083103,0,,,,,,,,,
0.94165882,0.910871607,0.857122449,0.012820348,,,,,,,,,
0.949992083,0.913763535,0.842083103,0,,,,,,,,,
0.933325556,0.896918419,0.81393456,0,,,,,,,,,
0.916659028,0.890791153,0.803905806,0,,,,,,,,,
0.933325556,0.914375329,0.877533112,0.028168617,,,,,,,,,
0.933325556,0.926758779,0.864392129,0,,,,,,,,,
0.866659445,0.84854159,0.818166942,0.092306272,,,,,,,,,
0.783326806,0.786376019,0.727261708,0.148145405,,,,,,,,,
0.841659653,0.839828269,0.757564279,0.055554527,,,,,,,,,
0.841659653,0.815026407,0.724125446,0.048386316,,,,,,,,,
0.916659028,0.87127576,0.809504536,0.025640697,,,,,,,,,
0.883325972,0.862235384,0.771916282,0.015872764,,,,,,,,,
0.874992708,0.847972129,0.777763375,0.045453857,,,,,,,,,
0.874992708,0.856632303,0.775848692,0.032257544,,,,,,,,,
0.858326181,0.834443498,0.741366528,0.032257544,,,,,,,,,
0.891659236,0.850057103,0.804330341,0.054053324,,,,,,,,,
0.816659861,0.783805577,0.701742075,0.07936382,,,,,,,,,
0.858326181,0.820540133,0.749985577,0.058822664,,,,,,,,,
0.8999925,0.856629819,0.76594115,0.013698442,,,,,,,,,
0.916659028,0.874478723,0.853637716,0.05063227,,,,,,,,,
0.949992083,0.916141862,0.891867787,0.024096095,,,,,,,,,
0.958325347,0.929054026,0.8683982,0,,,,,,,,,
0.958325347,0.922551747,0.857118368,0,,,,,,,,,
0.924992292,0.869042923,0.810788898,0.024096095,,,,,,,,,
0.958325347,0.932809512,0.897412887,0.012345527,,,,,,,,,
0.933325556,0.901919965,0.84088998,0.013157722,,,,,,,,,
0.958325347,0.930982441,0.894713297,0.012194973,,,,,,,,,
0.958325347,0.92254891,0.909063362,0.022988242,,,,,,,,,
0.949992083,0.913763535,0.842083103,0,,,,,,,,,
0.974991875,0.95599522,0.916641204,0,,,,,,,,,
0.949992083,0.922554839,0.878027365,0.012658068,,,,,,,,,
0.883325972,0.836692562,0.782591683,0.054053324,,,,,,,,,
0.891659236,0.842853541,0.833313493,0.076922091,,,,,,,,,
0.916659028,0.883201742,0.844425679,0.039999467,,,,,,,,,
0.94165882,0.919019429,0.909070248,0.039473165,,,,,,,,,
0.933325556,0.91252414,0.893598009,0.041095327,,,,,,,,,
0.966658611,0.956002151,0.91664757,0,,,,,,,,,
0.991658403,0.988242142,0.97775605,0,,,,,,,,,
0.966658611,0.957813846,0.938756352,0.014084309,,,,,,,,,
0.949992083,0.942880292,0.892841199,0,,,,,,,,,
0.933325556,0.924013973,0.859634042,0,,,,,,,,,
0.966658611,0.956002151,0.91664757,0,,,,,,,,,
0.916659028,0.897446337,0.814799726,0,,,,,,,,,
0.891659236,0.865468237,0.777763375,0.015151286,,,,,,,,,
0.924992292,0.904744431,0.895814671,0.055554784,,,,,,,,,
0.924992292,0.891048615,0.822203951,0.013333156,,,,,,,,,
0.908325764,0.881208739,0.788446376,0,,,,,,,,,
0.958325347,0.940655213,0.909070248,0.013157722,,,,,,,,,
0.8999925,0.897795303,0.815372071,0,,,,,,,,,
0.924992292,0.927486988,0.878774564,0.018518176,,,,,,,,,
0.883325972,0.88473288,0.843736817,0.071427296,,,,,,,,,
0.849992917,0.851953925,0.753612266,0.019607459,,,,,,,,,
0.8999925,0.886278848,0.824546938,0.031745528,,,,,,,,,
0.908325764,0.89856841,0.84481302,0.032257544,,,,,,,,,
0.916659028,0.903330711,0.854529918,0.030768757,,,,,,,,,
0.933325556,0.921052557,0.870354253,0.015151286,,,,,,,,,
0.8999925,0.886277603,0.839270727,0.046874268,,,,,,,,,
0.883325972,0.874484661,0.874984375,0.109373291,,,,,,,,,
0.874992708,0.877537462,0.818169422,0.055554527,,,,,,,,,
0.891659236,0.88444354,0.819658694,0.033897731,,,,,,,,,
0.924992292,0.916915683,0.877177593,0.031745528,,,,,,,,,
0.858326181,0.851665768,0.765613037,0.035713648,,,,,,,,,
0.916659028,0.910200846,0.849985834,0.016666389,,,,,,,,,
0.933325556,0.938880431,0.911751298,0.038460799,,,,,,,,,
0.8999925,0.9112533,0.861099151,0.041665799,,,,,,,,,
0.866659445,0.881841977,0.833321759,0.083331597,,,,,,,,,
