ACC,F1,TPR,FPR,,,,,,,,,
0.499995833,0.558317485,0.527770448,0.541655382,,0.702160815,0.392537219,0.675248364,0.289111558,0.137842462,0.150119536,0.188106142,0.145873012
0.583328472,0.50931763,0.419348075,0.241375149,,,,,,,,,
0.608328264,0.35565542,0.361101081,0.285710884,,,,,,,,,
0.683327639,0.344317013,0.357130102,0.217388941,,,,,,,,,
0.741660486,0.278654979,0.499958337,0.231479338,,,,,,,,,
0.791660069,0.323851622,0.461502961,0.168222727,,,,,,,,,
0.791660069,0.323816666,0.374976564,0.144229382,,,,,,,,,
0.808326597,0.548507935,0.482741974,0.087911122,,,,,,,,,
0.833326389,0.411256624,0.499964288,0.122640352,,,,,,,,,
0.849992917,0.470076623,0.571387758,0.113206479,,,,,,,,,
0.849992917,0.499497364,0.642811228,0.122640352,,,,,,,,,
0.874992708,0.482231186,0.538420122,0.084111363,,,,,,,,,
0.841659653,0.094822587,0.166638894,0.12280594,,,,,,,,,
0.908325764,0.352540131,0.749812547,0.086206153,,,,,,,,,
0.924992292,0.570902883,0.749906262,0.062499442,,,,,,,,,
0.891659236,0.479469307,0.428540819,0.047169366,,,,,,,,,
0.94165882,0.631025311,0.749906262,0.044642459,,,,,,,,,
0.908325764,0.521217826,0.666592601,0.072071423,,,,,,,,,
0.916659028,0.582816347,0.777691368,0.072071423,,,,,,,,,
0.924992292,0.666118347,0.692254442,0.046728535,,,,,,,,,
0.841659653,0.344333577,0.454504136,0.119264961,,,,,,,,,
0.841659653,0.295857914,0.499937508,0.133927376,,,,,,,,,
0.874992708,0.39964823,0.99980004,0.130433648,,,,,,,,,
0.866659445,0.333027974,0.999750062,0.137929845,,,,,,,,,
0.858326181,0.319654693,0.799840032,0.139129225,,,,,,,,,
0.816659861,0.352593709,0.857020426,0.185839063,,,,,,,,,
0.791660069,0.418228523,0.899910009,0.218179835,,,,,,,,,
0.833326389,0.58283112,0.736803326,0.148513381,,,,,,,,,
0.841659653,0.536109832,0.785658167,0.150941972,,,,,,,,,
0.849992917,0.525856305,0.833263895,0.148146776,,,,,,,,,
0.791660069,0.358575015,0.699930007,0.199998182,,,,,,,,,
0.816659861,0.388492633,0.777691368,0.180178557,,,,,,,,,
0.841659653,0.456764338,0.999875016,0.169641342,,,,,,,,,
