ACC,F1,TPR,FPR,,,,,,,,,
0.549995417,0.696149543,0.56363124,0.599940006,,0.760326997,0.574501062,0.569332486,0.149872357,0.081887792,0.154179739,0.188355256,0.090971573
0.566661944,0.132897507,0.210515236,0.366333007,,,,,,,,,
0.624994792,0.365692396,0.333324787,0.234565005,,,,,,,,,
0.724993958,0.37684651,0.357130102,0.163041706,,,,,,,,,
0.674994375,0.290419302,0.242416896,0.160917691,,,,,,,,,
0.666661111,0.166175024,0.142852041,0.173911153,,,,,,,,,
0.74999375,0.117157695,0.14284694,0.169809719,,,,,,,,,
0.724993958,0.0566925,0.083326389,0.203701818,,,,,,,,,
0.758327014,0.215836989,0.444395067,0.216214268,,,,,,,,,
0.716660694,0.291210742,0.437472658,0.240382304,,,,,,,,,
0.766660278,0.46103306,0.545429753,0.183671595,,,,,,,,,
0.849992917,0.549474203,0.578916899,0.099008921,,,,,,,,,
0.816659861,0.312051364,0.499950005,0.15454405,,,,,,,,,
0.824993125,0.431912916,0.470560555,0.116503723,,,,,,,,,
0.858326181,0.513766997,0.599960003,0.104760907,,,,,,,,,
0.691660903,0.478422139,0.354159288,0.083332176,,,,,,,,,
0.683327639,0.440707218,0.340901343,0.118419494,,,,,,,,,
0.783326806,0.566157092,0.499985295,0.104649946,,,,,,,,,
0.741660486,0.574868444,0.446799004,0.068492212,,,,,,,,,
0.716660694,0.584887933,0.461529586,0.088233997,,,,,,,,,
0.674994375,0.493008404,0.42221284,0.173331022,,,,,,,,,
0.649994583,0.38184278,0.393927457,0.252870657,,,,,,,,,
0.716660694,0.484334766,0.499984375,0.20454313,,,,,,,,,
0.699994167,0.59951691,0.482134248,0.109373291,,,,,,,,,
0.791660069,0.718592939,0.6399872,0.099998571,,,,,,,,,
0.674994375,0.635029785,0.51514371,0.129627229,,,,,,,,,
0.683327639,0.647657247,0.538453255,0.145451901,,,,,,,,,
0.641661319,0.605020149,0.492529962,0.169808117,,,,,,,,,
0.649994583,0.610655671,0.458326968,0.062498698,,,,,,,,,
0.649994583,0.595709447,0.436613569,0.040815494,,,,,,,,,
0.716660694,0.637828979,0.491795216,0.050846596,,,,,,,,,
0.666661111,0.544963488,0.452821645,0.164176654,,,,,,,,,
0.724993958,0.636870784,0.527263141,0.107690651,,,,,,,,,
0.608328264,0.471418241,0.396218939,0.223877256,,,,,,,,,
0.724993958,0.628707366,0.5599888,0.157140612,,,,,,,,,
0.74999375,0.624484775,0.624984375,0.187497656,,,,,,,,,
0.758327014,0.641461749,0.684192521,0.207314545,,,,,,,,,
0.74999375,0.650649111,0.682910173,0.21518715,,,,,,,,,
0.774993542,0.702782144,0.680836578,0.16438131,,,,,,,,,
0.699994167,0.590405366,0.5199896,0.171426122,,,,,,,,,
0.741660486,0.57482798,0.552617036,0.170729625,,,,,,,,,
0.841659653,0.697892017,0.73330889,0.122220864,,,,,,,,,
0.758327014,0.60222447,0.62855347,0.18823308,,,,,,,,,
0.783326806,0.566148219,0.566647778,0.14444284,,,,,,,,,
0.674994375,0.47952684,0.374992188,0.124998264,,,,,,,,,
0.758327014,0.591061671,0.47726188,0.07894633,,,,,,,,,
0.716660694,0.484400293,0.355547654,0.066665778,,,,,,,,,
0.616661528,0.409877708,0.271181844,0.049179522,,,,,,,,,
0.658327847,0.387618205,0.282602552,0.108106647,,,,,,,,,
0.741660486,0.310610146,0.269220415,0.127658216,,,,,,,,,
0.783326806,0.518005957,0.466651112,0.111109877,,,,,,,,,
0.883325972,0.695122289,0.695621929,0.072164204,,,,,,,,,
0.799993333,0.585716191,0.472209105,0.059523101,,,,,,,,,
0.766660278,0.516795831,0.374990625,0.037499531,,,,,,,,,
0.758327014,0.508009584,0.384605523,0.061727633,,,,,,,,,
0.841659653,0.595257938,0.466651112,0.033332963,,,,,,,,,
0.816659861,0.541231211,0.382341696,0.011627772,,,,,,,,,
0.924992292,0.768718239,0.624973959,0,,,,,,,,,
0.841659653,0.611745473,0.499983334,0.044443951,,,,,,,,,
0.874992708,0.666179078,0.517223544,0.01098889,,,,,,,,,
0.8999925,0.749490756,0.620668253,0.01098889,,,,,,,,,
0.916659028,0.791133998,0.791633682,0.052082791,,,,,,,,,
0.924992292,0.822999149,0.874963543,0.062499349,,,,,,,,,
0.916659028,0.838183441,0.866637779,0.066665926,,,,,,,,,
0.824993125,0.695134991,0.648631118,0.096384381,,,,,,,,,
0.774993542,0.639498322,0.545442149,0.092104051,,,,,,,,,
0.733327222,0.578454687,0.478250473,0.108106647,,,,,,,,,
0.858326181,0.690384494,0.703677642,0.096773153,,,,,,,,,
0.866659445,0.691784381,0.642834184,0.065216682,,,,,,,,,
0.741660486,0.491310325,0.405394449,0.108432429,,,,,,,,,
0.74999375,0.582873021,0.437490886,0.041666088,,,,,,,,,
0.866659445,0.703180736,0.759969601,0.10526205,,,,,,,,,
0.874992708,0.680340766,0.842060944,0.118810705,,,,,,,,,
0.841659653,0.626959208,0.842060944,0.158414273,,,,,,,,,
0.824993125,0.617696873,0.849957502,0.1799982,,,,,,,,,
0.841659653,0.666169619,0.863597109,0.16326364,,,,,,,,,
0.791660069,0.637168206,0.709654527,0.179773261,,,,,,,,,
0.808326597,0.700784969,0.771406531,0.176468512,,,,,,,,,
0.808326597,0.715532128,0.707299822,0.139238744,,,,,,,,,
0.833326389,0.721705974,0.787854913,0.14942357,,,,,,,,,
0.841659653,0.74614789,0.777756173,0.130950822,,,,,,,,,
0.841659653,0.70717384,0.766641112,0.133331852,,,,,,,,,
0.833326389,0.713791742,0.925891634,0.193546306,,,,,,,,,
0.849992917,0.718240077,0.851820303,0.150536016,,,,,,,,,
0.774993542,0.639515363,0.857112246,0.249997283,,,,,,,,,
0.799993333,0.7267568,0.74416874,0.168828976,,,,,,,,,
0.841659653,0.803608769,0.764690888,0.101447805,,,,,,,,,
0.816659861,0.755039096,0.755538766,0.146664711,,,,,,,,,
0.741660486,0.643169094,0.717930309,0.246910532,,,,,,,,,
0.591661736,0.494335716,0.499989584,0.3472174,,,,,,,,,
0.699994167,0.659866877,0.624988839,0.234371338,,,,,,,,,
0.791660069,0.730667933,0.708318577,0.152775656,,,,,,,,,
0.808326597,0.722375145,0.74998125,0.162497969,,,,,,,,,
0.741660486,0.596897686,0.696948577,0.241376536,,,,,,,,,
0.74999375,0.558380512,0.904718823,0.282825426,,,,,,,,,
0.774993542,0.657740442,0.866637779,0.255552716,,,,,,,,,
0.691660903,0.519028871,0.799968001,0.33683856,,,,,,,,,
0.708327431,0.587741844,0.735272492,0.302322066,,,,,,,,,
0.666661111,0.582835474,0.6999825,0.349995625,,,,,,,,,
0.683327639,0.611738009,0.681802686,0.315785319,,,,,,,,,
