ACC,F1,TPR,FPR,,,,,,,,,
0.533328889,0.587733977,0.526308864,0.454535124,,0.603661636,0.448542022,0.771671203,0.431502384,0.078751063,0.165642818,0.154584429,0.101778213
0.624994792,0.601264406,0.548378252,0.293098395,,,,,,,,,
0.624994792,0.6276105,0.520540815,0.212761431,,,,,,,,,
0.691660903,0.601639446,0.57141691,0.225348939,,,,,,,,,
0.774993542,0.696113981,0.704529443,0.184208103,,,,,,,,,
0.733327222,0.679488565,0.64149733,0.194026955,,,,,,,,,
0.791660069,0.756769485,0.709078017,0.138459408,,,,,,,,,
0.724993958,0.712532372,0.683321945,0.233329445,,,,,,,,,
0.741660486,0.715086953,0.661005746,0.180324913,,,,,,,,,
0.774993542,0.732167372,0.84088998,0.263154432,,,,,,,,,
0.649994583,0.570977429,0.874972657,0.431813275,,,,,,,,,
0.599995,0.466265508,0.874963543,0.468745117,,,,,,,,,
0.633328056,0.510708936,0.958293404,0.447912001,,,,,,,,,
0.591661736,0.436430435,0.999947371,0.485143711,,,,,,,,,
0.591661736,0.504643915,0.925891634,0.50537091,,,,,,,,,
0.583328472,0.509404945,0.962927299,0.526876055,,,,,,,,,
0.574995208,0.531701667,0.966634446,0.555549383,,,,,,,,,
0.549995417,0.525903046,0.937470704,0.590902376,,,,,,,,,
0.44999625,0.312215949,0.93744141,0.62499399,,,,,,,,,
0.633328056,0.576501768,0.999966668,0.488883457,,,,,,,,,
0.666661111,0.671625331,0.745440992,0.399993846,,,,,,,,,
0.74999375,0.721733851,0.92854932,0.346149408,,,,,,,,,
0.708327431,0.705383572,0.8399832,0.385708776,,,,,,,,,
0.708327431,0.710242261,0.826907175,0.382347318,,,,,,,,,
0.74999375,0.796786928,0.786656178,0.311104198,,,,,,,,,
0.674994375,0.682447805,0.91302363,0.472966582,,,,,,,,,
0.691660903,0.717059476,0.854529918,0.446146982,,,,,,,,,
0.708327431,0.71495993,0.91664757,0.430549576,,,,,,,,,
0.691660903,0.708169958,0.88233564,0.449268851,,,,,,,,,
0.549995417,0.570965339,0.818163224,0.605255194,,,,,,,,,
0.466662778,0.41776981,0.741911551,0.629206413,,,,,,,,,
0.583328472,0.509387288,0.89652081,0.516477841,,,,,,,,,
0.524995625,0.329129077,0.999928577,0.537730776,,,,,,,,,
0.483329306,0.414716594,0.846121303,0.617014713,,,,,,,,,
0.383330139,0.177593995,0.888790134,0.657651733,,,,,,,,,
0.441662986,0.229625848,0.769171602,0.598125251,,,,,,,,,
0.466662778,0.219292878,0.899910009,0.572722066,,,,,,,,,
0.608328264,0.551932862,0.852916091,0.488366414,,,,,,,,,
0.608328264,0.543266216,0.933302223,0.499994445,,,,,,,,,
0.566661944,0.468953734,0.766641112,0.499994445,,,,,,,,,
0.549995417,0.425123052,0.769201185,0.510632866,,,,,,,,,
0.566661944,0.34962943,0.736803326,0.465341927,,,,,,,,,
0.608328264,0.318460412,0.647020763,0.398054388,,,,,,,,,
0.616661528,0.488403177,0.62855347,0.388230727,,,,,,,,,
0.691660903,0.44738456,0.93744141,0.346150518,,,,,,,,,
0.641661319,0.317142137,0.833263895,0.379626115,,,,,,,,,
0.658327847,0.327562736,0.909008272,0.36696911,,,,,,,,,
0.666661111,0.259024182,0.999857163,0.353979168,,,,,,,,,
0.608328264,0.203148773,0.749906262,0.401782127,,,,,,,,,
0.574995208,0.190248666,0.749906262,0.437496094,,,,,,,,,
0.616661528,0.257808235,0.888790134,0.405401753,,,,,,,,,
0.633328056,0.31222677,0.99990001,0.399996364,,,,,,,,,
0.583328472,0.193367463,0.999833361,0.438592644,,,,,,,,,
0.674994375,0.505938427,0.999950002,0.3899961,,,,,,,,,
0.574995208,0.337373135,0.999923083,0.47663106,,,,,,,,,
0.566661944,0.29703636,0.999909099,0.477059843,,,,,,,,,
0.583328472,0.374656228,0.882301041,0.466014893,,,,,,,,,
0.583328472,0.418238264,0.899955002,0.4799952,,,,,,,,,
0.558328681,0.361111622,0.882301041,0.495140824,,,,,,,,,
0.516662361,0.309141888,0.619018142,0.505045404,,,,,,,,,
0.574995208,0.337340137,0.866608893,0.466662222,,,,,,,,,
0.558328681,0.253233387,0.749937505,0.462958676,,,,,,,,,
0.524995625,0.196956392,0.777691368,0.495491032,,,,,,,,,
0.583328472,0.218524615,0.874890639,0.437496094,,,,,,,,,
