ACC,F1,TPR,FPR,,,,,,,,,
0.469998825,0.479893391,0.445452521,0.499997222,,0.497798756,0.278015176,0.2044124,0.211392033,0.086450839,0.138745141,0.112926633,0.117598671
0.522498694,0.470421241,0.414632124,0.364100697,,,,,,,,,
0.534998663,0.387694065,0.304122144,0.247571614,,,,,,,,,
0.549998625,0.403519779,0.308079252,0.212870233,,,,,,,,,
0.544998638,0.271542395,0.209875248,0.226889803,,,,,,,,,
0.429998925,0.32905664,0.213739642,0.159419135,,,,,,,,,
0.467498831,0.282456106,0.187499163,0.176135363,,,,,,,,,
0.494998763,0.178484101,0.119564568,0.185184328,,,,,,,,,
0.472498819,0.209418538,0.13084051,0.13440788,,,,,,,,,
0.472498819,0.145416151,0.092307219,0.165852849,,,,,,,,,
0.547498631,0.295395102,0.185364949,0.071794504,,,,,,,,,
0.502498744,0.130662771,0.083798415,0.158370324,,,,,,,,,
0.567498581,0.155776689,0.097560381,0.105931755,,,,,,,,,
0.4399989,0.188177858,0.108332882,0.062499609,,,,,,,,,
0.484998788,0.088258713,0.051281788,0.102438525,,,,,,,,,
0.609998475,0.297035446,0.175530981,0.004716959,,,,,,,,,
0.529998675,0.175208818,0.101009591,0.049504705,,,,,,,,,
0.37999905,0.053262628,0.02953574,0.11042877,,,,,,,,,
0.497498756,0.056076853,0.033333148,0.122726715,,,,,,,,,
0.484998788,0.104107917,0.060605755,0.099009411,,,,,,,,,
0.477498806,0.045433059,0.026315651,0.11428517,,,,,,,,,
0.49999875,0.18678883,0.105504103,0.027472377,,,,,,,,,
0.492498769,0.009518995,0.005681786,0.124999442,,,,,,,,,
0.449998875,0.105458401,0.061032577,0.1069513,,,,,,,,,
0.5199987,0.20633429,0.123761764,0.075757193,,,,,,,,,
0.509998725,0.140060918,0.08510593,0.113207013,,,,,,,,,
0.492498769,0.10543641,0.06417078,0.131454782,,,,,,,,,
0.517498706,0.236891782,0.140186261,0.048386837,,,,,,,,,
0.492498769,0.233683884,0.140270859,0.072625293,,,,,,,,,
0.502498744,0.130672712,0.08287247,0.150684243,,,,,,,,,
0.444998888,0.034455127,0.021977901,0.201833937,,,,,,,,,
0.574998563,0.302950696,0.190720666,0.06310649,,,,,,,,,
0.429998925,0.148927112,0.093896273,0.187164775,,,,,,,,,
0.474998813,0.191960207,0.123761764,0.166665825,,,,,,,,,
0.517498706,0.340961267,0.216449279,0.071005497,,,,,,,,,
0.577498556,0.190973257,0.135134222,0.162697767,,,,,,,,,
0.382499044,0,0,0.288370752,,,,,,,,,
0.584998538,0.438839981,0.282607467,0.005882318,,,,,,,,,
0.487498781,0.300013909,0.188840391,0.09580781,,,,,,,,,
0.627498431,0.325385727,0.22641367,0.10788337,,,,,,,,,
0.517498706,0.282152204,0.188117881,0.146463907,,,,,,,,,
0.397499006,0.21969964,0.144680235,0.242422773,,,,,,,,,
0.609998475,0.493122173,0.33187628,0.017543757,,,,,,,,,
0.624998438,0.471423327,0.328429763,0.066326192,,,,,,,,,
0.469998825,0.258325227,0.18316741,0.237372539,,,,,,,,,
0.584998538,0.389279412,0.280421797,0.142179421,,,,,,,,,
0.407498981,0.077370269,0.059523455,0.340515774,,,,,,,,,
0.357499106,0.091437889,0.067707981,0.374998197,,,,,,,,,
0.477498806,0.245055479,0.178946427,0.252379751,,,,,,,,,
0.677498306,0.520015882,0.376342063,0.06074738,,,,,,,,,
0.549998625,0.418957415,0.287609347,0.109194775,,,,,,,,,
0.369999075,0.073086292,0.055248314,0.369861325,,,,,,,,,
0.512498719,0.334035947,0.244998775,0.2199989,,,,,,,,,
0.457498856,0.141827944,0.112499297,0.312498698,,,,,,,,,
0.477498806,0.291071726,0.222796773,0.285022778,,,,,,,,,
0.394999013,0.213831852,0.164178288,0.371857428,,,,,,,,,
0.507498731,0.374156878,0.280951043,0.242103989,,,,,,,,,
0.472498819,0.307759175,0.227052043,0.264247336,,,,,,,,,
0.597498506,0.368163898,0.288341789,0.189872617,,,,,,,,,
0.364999088,0.158524723,0.112675527,0.347591724,,,,,,,,,
0.352499119,0.071231203,0.055248314,0.401824649,,,,,,,,,
0.462498844,0.228932092,0.17777679,0.30454407,,,,,,,,,
0.449998875,0.240924538,0.185184205,0.312794726,,,,,,,,,
0.624998438,0.418127212,0.341769989,0.190081859,,,,,,,,,
0.654998363,0.557281259,0.39013278,0.011299371,,,,,,,,,
0.557498606,0.369682626,0.265304769,0.161763913,,,,,,,,,
0.257499356,0.068554458,0.048672351,0.471261659,,,,,,,,,
0.667498331,0.545638382,0.399998,0.064999675,,,,,,,,,
0.527498681,0.275384622,0.22641367,0.273857785,,,,,,,,,
0.252499369,0.090778511,0.063829516,0.478784977,,,,,,,,,
0.429998925,0.161321926,0.120878457,0.311925175,,,,,,,,,
0.622498444,0.433997925,0.335258178,0.15858961,,,,,,,,,
0.494998763,0.303021356,0.218904384,0.226129517,,,,,,,,,
0.527498681,0.363179382,0.279791296,0.241544727,,,,,,,,,
0.687498281,0.448853706,0.377774979,0.154716397,,,,,,,,,
0.477498806,0.383088951,0.261043128,0.165561817,,,,,,,,,
0.469998825,0.236944699,0.187498935,0.308034339,,,,,,,,,
0.4799988,0.328584869,0.247571614,0.273194468,,,,,,,,,
0.724998188,0.585987579,0.478524672,0.105484787,,,,,,,,,
0.352499119,0.172082418,0.128570816,0.399997895,,,,,,,,,
0.482498794,0.307245707,0.231154617,0.26865538,,,,,,,,,
0.537498656,0.400843726,0.303920079,0.219386636,,,,,,,,,
0.472498819,0.365922275,0.273541374,0.276834594,,,,,,,,,
0.594998513,0.412569614,0.333331384,0.209606072,,,,,,,,,
0.457498856,0.411489265,0.301586105,0.277025155,,,,,,,,,
0.482498794,0.377922646,0.290321243,0.289615904,,,,,,,,,
0.377499056,0.228636318,0.18137166,0.418365212,,,,,,,,,
0.5599986,0.384136782,0.316090137,0.252211273,,,,,,,,,
0.414998963,0.342252087,0.256301444,0.35184968,,,,,,,,,
0.509998725,0.419671228,0.315554153,0.239998629,,,,,,,,,
0.514998713,0.381716454,0.288460152,0.239582086,,,,,,,,,
0.592498519,0.485331307,0.39086096,0.211821617,,,,,,,,,
0.414998963,0.370531134,0.272726195,0.340133741,,,,,,,,,
0.609998475,0.48635516,0.413405512,0.230768187,,,,,,,,,
0.5999985,0.462604906,0.385472707,0.22624332,,,,,,,,,
0.402498994,0.302739609,0.240739626,0.40760648,,,,,,,,,
0.492498769,0.389911358,0.321780585,0.33333165,,,,,,,,,
0.402498994,0.330079314,0.252135675,0.385539846,,,,,,,,,
0.529998675,0.270817125,0.263155916,0.337077389,,,,,,,,,
0.362499094,0.281234709,0.216449279,0.437867232,,,,,,,,,
