ACC,F1,TPR,FPR,,,,ACC,F1,TPR,FPR,ACC_std,F1_std,TPR_std,FPR_std
0.512498719,0.508315723,0.540104064,0.511734687,,,,0.500448749,0.409846873,0.350268563,0.340543699,0.040666807,0.073104939,0.071366911,0.083111218
0.522498694,0.464496646,0.400964247,0.34714846,,,,,,,,,,,
0.564998588,0.427131098,0.4037242,0.326358467,,,,,,,,,,,
0.512498719,0.406820292,0.330047635,0.299490866,,,,,,,,,,,
0.532498669,0.390408947,0.312498372,0.264421806,,,,,,,,,,,
0.45999885,0.332865535,0.264704585,0.336732976,,,,,,,,,,,
0.404998988,0.264980777,0.201876986,0.363634419,,,,,,,,,,,
0.467498831,0.425465942,0.298112083,0.199998519,,,,,,,,,,,
0.462498844,0.289955347,0.235292859,0.338026582,,,,,,,,,,,
0.474998813,0.419475739,0.295718694,0.202795785,,,,,,,,,,,
0.542498644,0.4222615,0.320572629,0.214658562,,,,,,,,,,,
0.449998875,0.378109851,0.270160201,0.256577259,,,,,,,,,,,
0.522498694,0.408221554,0.306975316,0.2270258,,,,,,,,,,,
0.574998563,0.302790419,0.260561545,0.251937008,,,,,,,,,,,
0.557498606,0.407572897,0.311222902,0.205881344,,,,,,,,,,,
0.454998863,0.272892306,0.202969292,0.287877334,,,,,,,,,,,
0.444998888,0.326841903,0.237884415,0.283235357,,,,,,,,,,,
0.529998675,0.247514449,0.210882919,0.284583855,,,,,,,,,,,
0.567498581,0.428625567,0.303736898,0.129031564,,,,,,,,,,,
0.552498619,0.500981113,0.351561127,0.090277151,,,,,,,,,,,
0.529998675,0.429869192,0.314157902,0.189654082,,,,,,,,,,,
0.374999063,0.251060794,0.185021211,0.375720372,,,,,,,,,,,
0.467498831,0.396155635,0.296608913,0.286583618,,,,,,,,,,,
0.462498844,0.342053846,0.26168102,0.306449965,,,,,,,,,,,
0.502498744,0.375729967,0.281688818,0.245987989,,,,,,,,,,,
0.45999885,0.205416921,0.162789751,0.315788089,,,,,,,,,,,
0.57999855,0.305306425,0.251698968,0.229248106,,,,,,,,,,,
0.469998825,0.324394154,0.244017971,0.282721033,,,,,,,,,,,
0.554998613,0.402230024,0.30769073,0.209755074,,,,,,,,,,,
0.482498794,0.366532594,0.271491984,0.256981805,,,,,,,,,,,
0.45999885,0.434136483,0.308549039,0.229005885,,,,,,,,,,,
0.564998588,0.505243385,0.372383379,0.149067397,,,,,,,,,,,
0.472498819,0.329679943,0.272249884,0.344495959,,,,,,,,,,,
0.474998813,0.463838761,0.348657668,0.287767714,,,,,,,,,,,
0.582498544,0.549407399,0.423234758,0.176099521,,,,,,,,,,,
0.447498881,0.416427732,0.322447663,0.35483642,,,,,,,,,,,
0.514998713,0.321178823,0.302629588,0.354837279,,,,,,,,,,,
0.537498656,0.423191976,0.356019078,0.296649298,,,,,,,,,,,
0.502498744,0.394669886,0.312498498,0.291665148,,,,,,,,,,,
0.5199987,0.388045845,0.335162994,0.325686579,,,,,,,,,,,
0.482498794,0.396024911,0.323807982,0.342103463,,,,,,,,,,,
0.512498719,0.420879421,0.356782127,0.333331675,,,,,,,,,,,
0.527498681,0.307191674,0.32060824,0.37174583,,,,,,,,,,,
0.524998688,0.423752828,0.366490228,0.330141961,,,,,,,,,,,
0.492498769,0.301905569,0.28757982,0.380565261,,,,,,,,,,,
0.482498794,0.399520637,0.330141961,0.350783504,,,,,,,,,,,
0.472498819,0.3031433,0.259885537,0.358742786,,,,,,,,,,,
0.412498969,0.413536251,0.299637907,0.333330623,,,,,,,,,,,
0.537498656,0.430287114,0.358972518,0.292681499,,,,,,,,,,,
0.557498606,0.530038889,0.416664931,0.231248555,,,,,,,,,,,
0.487498781,0.425287144,0.356805837,0.363634419,,,,,,,,,,,
0.432498919,0.329891869,0.290153937,0.434780508,,,,,,,,,,,
0.549998625,0.549522972,0.448977759,0.290320708,,,,,,,,,,,
0.447498881,0.403820532,0.355448552,0.44973307,,,,,,,,,,,
0.53999865,0.467711938,0.421872803,0.350959851,,,,,,,,,,,
0.432498919,0.406831501,0.336205447,0.434521223,,,,,,,,,,,
0.514998713,0.46359589,0.407765011,0.371132108,,,,,,,,,,,
0.509998725,0.496954846,0.412764201,0.351513021,,,,,,,,,,,
0.452498869,0.412391723,0.337717817,0.395346539,,,,,,,,,,,
0.417498956,0.440786082,0.343282301,0.43181491,,,,,,,,,,,
0.509998725,0.401945369,0.356754828,0.358137869,,,,,,,,,,,
0.462498844,0.321265907,0.310973714,0.432201558,,,,,,,,,,,
0.494998763,0.438391469,0.401013193,0.413791065,,,,,,,,,,,
0.454998863,0.318249492,0.331166681,0.467477774,,,,,,,,,,,
0.494998763,0.444562474,0.391302457,0.393780343,,,,,,,,,,,
0.512498719,0.410375282,0.393061312,0.396474024,,,,,,,,,,,
0.4799988,0.460654457,0.390349165,0.401160458,,,,,,,,,,,
0.507498731,0.353597178,0.3648624,0.408728537,,,,,,,,,,,
0.507498731,0.378047172,0.377356117,0.406637317,,,,,,,,,,,
0.512498719,0.534127662,0.439213964,0.358618216,,,,,,,,,,,
0.509998725,0.469775315,0.420287825,0.393780343,,,,,,,,,,,
0.514998713,0.422117565,0.410402252,0.405284558,,,,,,,,,,,
0.557498606,0.5559146,0.453059375,0.277417565,,,,,,,,,,,
0.4799988,0.418496171,0.386595945,0.432036738,,,,,,,,,,,
0.514998713,0.50208302,0.417019502,0.345452452,,,,,,,,,,,
0.557498606,0.422950647,0.427628766,0.362901762,,,,,,,,,,,
0.512498719,0.410375027,0.395346539,0.399121056,,,,,,,,,,,
0.489998775,0.46266762,0.401824649,0.403312689,,,,,,,,,,,
0.507498731,0.407909378,0.379886146,0.389138511,,,,,,,,,,,
0.507498731,0.418385206,0.371725802,0.36841929,,,,,,,,,,,
0.472498819,0.365873162,0.324466359,0.396224546,,,,,,,,,,,
0.517498706,0.467829815,0.404759977,0.357892853,,,,,,,,,,,
0.492498769,0.440286483,0.372091293,0.367565581,,,,,,,,,,,
0.517498706,0.362534731,0.369125039,0.394420739,,,,,,,,,,,
0.484998788,0.454554151,0.36595589,0.345452452,,,,,,,,,,,
0.514998713,0.377703876,0.366457351,0.384935628,,,,,,,,,,,
0.514998713,0.442034023,0.39486977,0.370729899,,,,,,,,,,,
0.554998613,0.363784205,0.374997243,0.352271393,,,,,,,,,,,
0.554998613,0.485053509,0.435230906,0.333331723,,,,,,,,,,,
0.474998813,0.530780415,0.423486037,0.403357955,,,,,,,,,,,
0.547498631,0.529377306,0.465751298,0.353589207,,,,,,,,,,,
0.4799988,0.353536254,0.365382273,0.446719481,,,,,,,,,,,
0.492498769,0.500738493,0.434040706,0.424239853,,,,,,,,,,,
0.509998725,0.442680009,0.435751756,0.429862308,,,,,,,,,,,
0.49999875,0.440841514,0.41145619,0.41826722,,,,,,,,,,,
0.484998788,0.414272583,0.392471008,0.434577409,,,,,,,,,,,
0.469998825,0.390303007,0.388569208,0.466664593,,,,,,,,,,,
0.537498656,0.580005598,0.511997952,0.4199972,,,,,,,,,,,
0.464998838,0.433361063,0.445649752,0.518516118,,,,,,,,,,,
0.504998738,0.483873656,0.502699985,0.493020963,,,,,,,,,,,
